mph,lat,lon,bz_vz,bz_sp
42.875,42.323775,-83.886717,76.311,72.241
42.253,42.323775,-83.886717,62.579,133.518
41.01,42.323775,-83.886717,89.711,119.268
40.389,42.323775,-83.886717,207.501,66.496
39.768,42.323775,-83.886717,86.712,58.871
40.389,42.323775,-83.886717,54.636,147.096
39.768,42.323975,-83.886775,61.32,116.437
40.389,42.323975,-83.886775,73.923,93.997
40.389,42.323975,-83.886775,63.719,135.589
40.389,42.324177,-83.886832,89.433,126.629
40.389,42.324177,-83.886832,62.672,71.738
39.768,42.324177,-83.886832,78.991,135.828
39.146,42.324378,-83.886888,88.124,132.943
39.768,42.324378,-83.886888,85.352,72.244
39.146,42.324378,-83.886888,90.758,126.961
39.146,42.324578,-83.886943,64.485,131.873
39.146,42.324578,-83.886943,70.22,58.818
39.768,42.324578,-83.886943,88.058,69.41
40.389,42.324778,-83.886997,79.581,126.163
41.01,42.324778,-83.886997,83.271,134.144
41.632,42.324778,-83.886997,51.842,86.29
41.632,42.324778,-83.886997,50.184,127.033
41.01,42.324778,-83.886997,85.011,119.146
39.768,42.324778,-83.886997,52.528,133.654
38.525,42.324977,-83.887047,90.421,54.456
37.282,42.324977,-83.887047,85.808,63.123
37.282,42.324977,-83.887047,99.63,125.479
36.661,42.325173,-83.887097,84.606,107.572
36.04,42.325173,-83.887097,86.091,69.205
36.04,42.325173,-83.887097,87.524,125.641
36.661,42.32537,-83.887143,84.051,120.815
36.661,42.32537,-83.887143,92.153,92.593
36.661,42.32537,-83.887143,96.676,55.084
36.661,42.325563,-83.887185,87.418,53.515
36.04,42.325563,-83.887185,69.62,125.065
35.418,42.325563,-83.887185,86.288,77.435
35.418,42.325755,-83.887217,82.061,117.502
34.797,42.325755,-83.887217,85.856,120.437
34.175,42.325755,-83.887217,65.194,119.683
33.554,42.325755,-83.887217,81.777,62.333
34.175,42.325755,-83.887217,90.483,116.64
34.797,42.325755,-83.887217,76.129,111.689
35.418,42.325945,-83.887242,89.417,98.739
35.418,42.325945,-83.887242,85.586,61.815
36.661,42.325945,-83.887242,84.327,124.371
36.661,42.326133,-83.887258,82.108,120.887
35.418,42.326133,-83.887258,89.354,117.501
34.175,42.326133,-83.887258,82.28,48.805
32.933,42.32632,-83.887268,89.051,113.921
32.311,42.32632,-83.887268,92.872,118.813
31.069,42.32632,-83.887268,59.902,116.815
31.069,42.326507,-83.887277,86.454,115.737
31.069,42.326507,-83.887277,84.547,121.417
29.826,42.326507,-83.887277,78.647,116.265
29.204,42.32669,-83.887278,83.112,126.862
28.583,42.32669,-83.887278,83.65,127.431
28.583,42.32669,-83.887278,84.139,118.131
29.204,42.32669,-83.887278,62.948,112.375
29.826,42.32669,-83.887278,90.488,60.311
30.447,42.32669,-83.887278,98.883,139.61
29.826,42.32687,-83.887277,82.812,131.816
29.204,42.32687,-83.887277,63.374,62.828
28.583,42.32687,-83.887277,82.475,58.716
27.962,42.327047,-83.887273,88.427,118.708
24.855,42.327047,-83.887273,92.483,122.805
19.263,42.327047,-83.887273,62.542,46.541
16.777,42.327217,-83.88727,85.466,52.225
15.534,42.327217,-83.88727,74.503,112.559
14.292,42.327217,-83.88727,122.848,49.277
12.427,42.327383,-83.887267,57.45,121.926
11.806,42.327383,-83.887267,63.072,118.534
11.185,42.327383,-83.887267,78.134,113.111
12.427,42.327547,-83.887265,79.417,56.515
14.913,42.327547,-83.887265,81.75,126.46
17.398,42.327547,-83.887265,69.99,121.446
19.263,42.327547,-83.887265,64.688,118.652
21.748,42.327547,-83.887265,57.42,112.677
22.991,42.327547,-83.887265,84.199,63.858
22.369,42.327708,-83.88726,82.033,115.98
22.991,42.327708,-83.88726,59.022,59.074
23.612,42.327708,-83.88726,51.537,109.971
24.233,42.327868,-83.887257,90.109,55.076
23.612,42.327868,-83.887257,86.284,126.461
22.991,42.327868,-83.887257,81.763,57.366
19.884,42.328028,-83.88725,60.764,128.245
13.67,42.328028,-83.88725,54.428,52.878
11.185,42.328028,-83.88725,90.651,80.962
9.321,42.32819,-83.887243,128.479,113.279
8.699,42.32819,-83.887243,82.023,119.014
11.185,42.32819,-83.887243,66.108,114.595
14.292,42.328353,-83.887238,69.823,63.767
16.777,42.328353,-83.887238,84.19,144.145
19.263,42.328353,-83.887238,97.477,112.887
21.748,42.328353,-83.887238,90.767,58.185
22.369,42.328353,-83.887238,92.943,123.155
22.369,42.328353,-83.887238,81.698,94.34
22.369,42.328518,-83.887235,86.536,65.965
22.369,42.328518,-83.887235,81.381,118.293
22.369,42.328518,-83.887235,69.163,118.011
19.884,42.328683,-83.88723,86.201,111.337
17.398,42.328683,-83.88723,83.932,53.719
14.913,42.328683,-83.88723,77.078,127.33
14.292,42.328683,-83.88723,58.572,53.239
16.777,42.328683,-83.88723,94.39,51.124
19.263,42.328683,-83.88723,95.921,126.483
21.127,42.336492,-83.887333,87.447,110.935
23.612,42.336492,-83.887333,84.379,53.816
24.855,42.336492,-83.887333,55.991,112.229
26.719,42.336437,-83.887333,88.487,60.126
27.962,42.336437,-83.887333,75.616,51.482
28.583,42.336437,-83.887333,56.301,51.602
29.204,42.336378,-83.887328,82.319,69.699
29.826,42.336378,-83.887328,87.669,110.721
31.069,42.336378,-83.887328,71.576,48.501
31.069,42.336312,-83.887325,57.603,67.616
31.069,42.336312,-83.887325,81.894,123.275
31.69,42.336312,-83.887325,79.263,116.57
31.69,42.336312,-83.887325,91.782,55.275
31.069,42.336312,-83.887325,58.417,116.873
30.447,42.336312,-83.887325,57.606,141.216
30.447,42.336235,-83.887323,56.093,62.924
29.826,42.336235,-83.887323,85.49,56.13
29.826,42.336235,-83.887323,88.309,112.826
30.447,42.336148,-83.88732,52.473,123.278
30.447,42.336148,-83.88732,54.308,51.543
30.447,42.336148,-83.88732,89.027,61.534
31.069,42.336057,-83.88732,84.233,110.65
31.69,42.336057,-83.88732,81.115,63.961
32.311,42.336057,-83.88732,60.985,50.248
32.933,42.335958,-83.88732,50.329,56.206
34.175,42.335958,-83.88732,89.298,122.628
34.175,42.335958,-83.88732,84.911,64.595
34.797,42.335852,-83.887323,112.257,58.246
