vehiclespeed,latitude,longitude,verizon,sprint,xfinitywifi
59.652,42.23837,-83.739295,82.541,109.23,-1.0
60.273,42.238177,-83.739292,88.447,116.835,-1.0
60.273,42.238177,-83.739292,81.623,109.528,-1.0
60.894,42.238177,-83.739292,92.027,111.044,-1.0
60.894,42.237988,-83.73929,84.614,118.621,-1.0
60.894,42.237988,-83.73929,85.61,47.339,-1.0
60.894,42.237988,-83.73929,87.95,120.277,-1.0
60.894,42.237805,-83.739285,81.943,115.311,-1.0
61.516,42.237805,-83.739285,70.73,116.418,-1.0
62.758,42.237805,-83.739285,76.612,109.373,-1.0
63.38,42.237628,-83.739277,92.584,384.975,-1.0
64.001,42.237628,-83.739277,60.694,117.78,-1.0
64.001,42.237628,-83.739277,87.111,123.83,-1.0
64.623,42.237453,-83.739263,82.826,114.573,-1.0
65.244,42.237453,-83.739263,72.541,45.311,-1.0
65.865,42.237453,-83.739263,51.467,120.123,-1.0
66.487,42.237453,-83.739263,89.263,109.791,-1.0
67.108,42.237453,-83.739263,86.588,115.775,-1.0
67.729,42.237453,-83.739263,78.341,110.258,-1.0
67.729,42.237282,-83.739245,87.893,109.452,-1.0
67.729,42.237282,-83.739245,81.807,112.909,-1.0
68.972,42.237282,-83.739245,81.525,140.959,-1.0
69.594,42.237107,-83.73923,105.0,108.255,-1.0
69.594,42.237107,-83.73923,83.379,53.531,-1.0
70.215,42.237107,-83.73923,87.559,64.957,-1.0
70.215,42.236932,-83.739218,79.646,60.759,-1.0
70.215,42.236932,-83.739218,86.202,107.261,-1.0
70.215,42.236932,-83.739218,80.142,109.295,-1.0
70.215,42.236757,-83.739212,99.89,59.975,-1.0
70.215,42.236757,-83.739212,80.235,121.696,-1.0
70.215,42.236757,-83.739212,70.626,121.827,-1.0
70.215,42.236585,-83.739205,78.36,119.312,-1.0
70.215,42.236585,-83.739205,81.382,50.078,-1.0
69.594,42.236585,-83.739205,100.631,116.833,-1.0
69.594,42.236585,-83.739205,93.963,107.577,-1.0
69.594,42.236585,-83.739205,101.842,108.536,-1.0
69.594,42.236585,-83.739205,87.467,58.417,-1.0
69.594,42.236412,-83.739202,110.231,116.893,-1.0
69.594,42.236412,-83.739202,80.067,116.344,-1.0
69.594,42.236412,-83.739202,84.446,80.183,-1.0
69.594,42.23624,-83.739197,82.204,47.694,-1.0
69.594,42.23624,-83.739197,82.779,59.668,-1.0
69.594,42.23624,-83.739197,84.152,112.27,-1.0
69.594,42.23607,-83.739192,78.804,55.904,-1.0
69.594,42.23607,-83.739192,80.561,104.226,-1.0
69.594,42.23607,-83.739192,63.115,127.958,-1.0
69.594,42.2359,-83.739185,84.573,119.892,-1.0
69.594,42.2359,-83.739185,81.071,48.07,-1.0
69.594,42.2359,-83.739185,79.066,53.634,-1.0
69.594,42.235732,-83.739178,52.218,128.368,-1.0
69.594,42.235732,-83.739178,81.135,91.21,-1.0
69.594,42.235732,-83.739178,87.769,21077.496,-1.0
69.594,42.235732,-83.739178,73.425,20094.326,-1.0
69.594,42.235732,-83.739178,57.462,19049.975,-1.0
69.594,42.235732,-83.739178,85.07,18056.357,-1.0
69.594,42.235562,-83.739172,79.251,17009.951,-1.0
69.594,42.235562,-83.739172,79.84,15972.491,-1.0
69.594,42.235562,-83.739172,77.287,14928.663,-1.0
69.594,42.235393,-83.739165,91.062,13888.518,-1.0
69.594,42.235393,-83.739165,78.01,12849.492,-1.0
69.594,42.235393,-83.739165,78.222,11803.221,-1.0
69.594,42.235225,-83.739157,85.556,10755.763,-1.0
69.594,42.235225,-83.739157,78.553,9710.03,-1.0
69.594,42.235225,-83.739157,73.024,8663.325,-1.0
69.594,42.235058,-83.739147,77.552,7617.984,-1.0
69.594,42.235058,-83.739147,82.911,6574.584,-1.0
69.594,42.235058,-83.739147,86.02,5528.015,-1.0
68.972,42.23489,-83.739137,76.59,4487.94,-1.0
68.972,42.23489,-83.739137,63.523,3446.672,-1.0
68.972,42.23489,-83.739137,85.933,2399.6,-1.0
68.972,42.23489,-83.739137,84.109,1355.939,-1.0
68.972,42.23489,-83.739137,83.79,310.74,-1.0
69.594,42.23489,-83.739137,49.279,51.401,-1.0
69.594,42.234728,-83.739125,89.327,128.962,-1.0
69.594,42.234728,-83.739125,87.959,66.913,-1.0
69.594,42.234728,-83.739125,83.185,44.704,-1.0
69.594,42.234583,-83.739108,80.647,144.011,-1.0
69.594,42.234583,-83.739108,85.17,67.281,-1.0
69.594,42.234583,-83.739108,83.15,113.449,-1.0
69.594,42.234463,-83.73909,76.032,58.344,-1.0
69.594,42.234463,-83.73909,82.381,125.027,-1.0
69.594,42.234463,-83.73909,81.4,116.711,-1.0
69.594,42.234367,-83.73908,87.797,126.826,-1.0
69.594,42.234367,-83.73908,92.446,54.358,-1.0
69.594,42.234367,-83.73908,79.043,109.643,-1.0
69.594,42.234295,-83.739075,80.918,50.059,-1.0
69.594,42.234295,-83.739075,81.128,108.209,-1.0
69.594,42.234295,-83.739075,71.619,55.331,-1.0
69.594,42.234295,-83.739075,86.278,144.476,-1.0
70.215,42.234295,-83.739075,83.19,144.358,-1.0
70.215,42.234295,-83.739075,80.774,343.195,-1.0
70.215,42.234252,-83.739052,59.46,222.378,-1.0
69.594,42.234252,-83.739052,57.875,131.713,-1.0
70.215,42.234252,-83.739052,87.437,128.933,-1.0
70.215,42.234242,-83.739005,73.714,58.67,-1.0
70.215,42.234242,-83.739005,88.626,47.518,-1.0
70.215,42.234242,-83.739005,93.681,55.238,-1.0
69.594,42.23426,-83.738967,83.65,59.788,-1.0
69.594,42.23426,-83.738967,81.217,117.068,-1.0
69.594,42.23426,-83.738967,83.946,53.749,-1.0
69.594,42.234292,-83.738955,87.99,115.195,-1.0
69.594,42.234292,-83.738955,80.06,119.003,-1.0
69.594,42.234292,-83.738955,85.322,118.325,-1.0
69.594,42.234325,-83.738962,80.697,48.726,-1.0
69.594,42.234325,-83.738962,88.391,123.66,-1.0
69.594,42.234325,-83.738962,73.204,113.114,-1.0
69.594,42.234325,-83.738962,90.803,118.681,-1.0
69.594,42.234325,-83.738962,83.289,62.501,-1.0
